,weight,total_gross_income,pitax,table_row
124160,267.2510980766927,0.0,0.0,1
76402,2178.55722708035,0.0,0.0,1
76400,2178.55722708035,0.0,0.0,1
90148,617.442192108221,0.0,0.0,1
155623,392.58264751955545,0.0,0.0,1
57230,1304.9226030227476,0.0,0.0,1
16561,790.6946281027666,0.0,0.0,1
63998,1010.0248396277764,0.0,0.0,1
155583,364.9359822012769,0.0,0.0,1
63983,1010.0248396277764,0.0,0.0,1
155571,431.2879789651454,0.0,0.0,1
38418,1290.177714852999,0.0,0.0,1
16627,764.8910738057066,0.0,0.0,1
155470,318.85820667081265,0.0,0.0,1
63971,873.6346240576023,0.0,0.0,1
63972,1010.0248396277764,0.0,0.0,1
155487,420.229312837834,0.0,0.0,1
63973,1010.0248396277764,0.0,0.0,1
155490,420.229312837834,0.0,0.0,1
63999,1010.0248396277764,0.0,0.0,1
38400,1290.177714852999,0.0,0.0,1
63975,1010.0248396277764,0.0,0.0,1
155494,420.229312837834,0.0,0.0,1
124206,296.7408744161898,0.0,0.0,1
155508,512.3848638987625,0.0,0.0,1
155509,512.3848638987625,0.0,0.0,1
16597,930.771065715378,0.0,0.0,1
155536,407.327535689304,0.0,0.0,1
155492,420.229312837834,0.0,0.0,1
38781,1487.390594123386,0.0,0.0,1
124043,287.52531931009696,0.0,0.0,1
38552,707.7546321479309,0.0,0.0,1
156397,446.032867134894,0.0,0.0,1
57133,1245.9430503437534,0.0,0.0,1
156412,405.4844246680854,0.0,0.0,1
38701,626.6577472143139,0.0,0.0,1
38703,626.6577472143139,0.0,0.0,1
38704,626.6577472143139,0.0,0.0,1
38706,626.6577472143139,0.0,0.0,1
90424,667.2061896811225,0.0,0.0,1
38710,626.6577472143139,0.0,0.0,1
38711,626.6577472143139,0.0,0.0,1
38714,626.6577472143139,0.0,0.0,1
64116,1271.7466046408135,0.0,0.0,1
156482,661.6768566174667,0.0,0.0,1
76323,1343.6279344683376,0.0,0.0,1
156489,462.6208663258611,0.0,0.0,1
156389,394.4257585407741,0.0,0.0,1
38716,626.6577472143139,0.0,0.0,1
16253,733.5581864449908,0.0,0.0,1
38696,840.4586256756679,0.0,0.0,1
90382,895.7519563122252,0.0,0.0,1
156296,540.0315292170411,0.0,0.0,1
64100,1271.7466046408135,0.0,0.0,1
38681,840.4586256756679,0.0,0.0,1
123882,206.42843437647983,0.0,0.0,1
156309,398.1119805832112,0.0,0.0,1
76341,1343.6279344683376,0.0,0.0,1
76340,1343.6279344683376,0.0,0.0,1
57138,1929.737239215843,0.0,0.0,1
156351,444.1897561136754,0.0,0.0,1
123880,206.42843437647983,0.0,0.0,1
156366,468.1501993895168,0.0,0.0,1
16264,613.7559700657838,0.0,0.0,1
90396,670.8924117235596,0.0,0.0,1
156372,388.8964254771183,0.0,0.0,1
156385,444.1897561136754,0.0,0.0,1
16223,731.7150754237723,0.0,0.0,1
156491,462.6208663258611,0.0,0.0,1
38720,626.6577472143139,0.0,0.0,1
90464,639.5595243628438,0.0,0.0,1
156618,523.4435300260739,0.0,0.0,1
64140,1271.7466046408135,0.0,0.0,1
38756,1487.390594123386,0.0,0.0,1
76276,1234.884384216442,0.0,0.0,1
156626,650.6181904901553,0.0,0.0,1
156629,650.6181904901553,0.0,0.0,1
64150,1120.6115009008906,0.0,0.0,1
123822,294.8977633949712,0.0,0.0,1
57108,1863.3852424519744,0.0,0.0,1
123817,274.62354216156695,0.0,0.0,1
76266,2410.78921575389,0.0,0.0,1
15625,637.7164133416253,0.0,0.0,1
38771,1487.390594123386,0.0,0.0,1
90502,657.9906345750295,0.0,0.0,1
156585,468.1501993895168,0.0,0.0,1
38747,626.6577472143139,0.0,0.0,1
90447,589.7955267899424,0.0,0.0,1
38745,626.6577472143139,0.0,0.0,1
156492,462.6208663258611,0.0,0.0,1
38721,626.6577472143139,0.0,0.0,1
76316,1234.884384216442,0.0,0.0,1
76292,1234.884384216442,0.0,0.0,1
38727,626.6577472143139,0.0,0.0,1
38732,626.6577472143139,0.0,0.0,1
156528,571.3644165777567,0.0,0.0,1
16286,646.9319684477182,0.0,0.0,1
76288,1234.884384216442,0.0,0.0,1
156531,493.9537536865768,0.0,0.0,1
38736,626.6577472143139,0.0,0.0,1
38741,626.6577472143139,0.0,0.0,1
64136,1271.7466046408135,0.0,0.0,1
156548,394.4257585407741,0.0,0.0,1
16191,810.9688493361708,0.0,0.0,1
16190,810.9688493361708,0.0,0.0,1
38735,626.6577472143139,0.0,0.0,1
76363,1131.670167028202,0.0,0.0,1
156277,521.6004190048553,0.0,0.0,1
156274,506.8555308351068,0.0,0.0,1
76355,1343.6279344683376,0.0,0.0,1
156032,455.2484222409868,0.0,0.0,1
123989,302.27020747984545,0.0,0.0,1
123988,302.27020747984545,0.0,0.0,1
156055,340.97553892543544,0.0,0.0,1
38590,1461.5870398263262,0.0,0.0,1
16380,704.0684101054939,0.0,0.0,1
16379,704.0684101054939,0.0,0.0,1
57171,1907.61990696122,0.0,0.0,1
123981,328.0737617769055,0.0,0.0,1
64061,866.262179972728,0.0,0.0,1
90302,586.1093047475053,0.0,0.0,1
156083,363.0928711800584,0.0,0.0,1
16370,704.0684101054939,0.0,0.0,1
123971,392.58264751955545,0.0,0.0,1
156025,455.2484222409868,0.0,0.0,1
16366,704.0684101054939,0.0,0.0,1
16394,724.3426313388981,0.0,0.0,1
38582,1461.5870398263262,0.0,0.0,1
124031,287.52531931009696,0.0,0.0,1
124023,281.99598624644125,0.0,0.0,1
124022,281.99598624644125,0.0,0.0,1
124021,281.99598624644125,0.0,0.0,1
155994,418.3862018166154,0.0,0.0,1
155996,418.3862018166154,0.0,0.0,1
124020,281.99598624644125,0.0,0.0,1
124010,317.01509564959406,0.0,0.0,1
124003,383.36709241346256,0.0,0.0,1
38574,707.7546321479309,0.0,0.0,1
16403,724.3426313388981,0.0,0.0,1
124001,383.36709241346256,0.0,0.0,1
123999,383.36709241346256,0.0,0.0,1
38578,707.7546321479309,0.0,0.0,1
57175,1275.4328266832506,0.0,0.0,1
123993,302.27020747984545,0.0,0.0,1
38599,1461.5870398263262,0.0,0.0,1
64068,866.262179972728,0.0,0.0,1
38607,1461.5870398263262,0.0,0.0,1
76348,1343.6279344683376,0.0,0.0,1
156195,497.63997572901394,0.0,0.0,1
123916,291.2115413525341,0.0,0.0,1
38655,925.241732651722,0.0,0.0,1
76347,1343.6279344683376,0.0,0.0,1
156207,639.5595243628438,0.0,0.0,1
64087,866.262179972728,0.0,0.0,1
123912,453.4053112197682,0.0,0.0,1
16311,536.3453071746039,0.0,0.0,1
38658,925.241732651722,0.0,0.0,1
76346,1343.6279344683376,0.0,0.0,1
38663,925.241732651722,0.0,0.0,1
123903,479.2088655168282,0.0,0.0,1
38668,840.4586256756679,0.0,0.0,1
90364,602.6973039384725,0.0,0.0,1
38647,925.241732651722,0.0,0.0,1
156193,497.63997572901394,0.0,0.0,1
38638,925.241732651722,0.0,0.0,1
38634,925.241732651722,0.0,0.0,1
123959,394.4257585407741,0.0,0.0,1
90320,538.1884181958225,0.0,0.0,1
156115,471.836421431954,0.0,0.0,1
156118,471.836421431954,0.0,0.0,1
90339,709.5977431691496,0.0,0.0,1
156121,471.836421431954,0.0,0.0,1
64075,866.262179972728,0.0,0.0,1
64095,866.262179972728,0.0,0.0,1
38620,1461.5870398263262,0.0,0.0,1
156145,619.2853031294396,0.0,0.0,1
123934,285.6822082888784,0.0,0.0,1
16338,1022.9266167763066,0.0,0.0,1
38629,925.241732651722,0.0,0.0,1
38631,925.241732651722,0.0,0.0,1
156152,619.2853031294396,0.0,0.0,1
90355,716.9701872540237,0.0,0.0,1
64076,866.262179972728,0.0,0.0,1
76077,1620.0945876511232,0.0,0.0,1
161165,401.7982026256483,0.0,0.0,1
158147,816.4981823998265,0.0,0.0,1
159881,388.8964254771183,0.0,0.0,1
75873,1150.1012772403878,0.0,0.0,1
75870,1150.1012772403878,0.0,0.0,1
56716,1911.306129003657,0.0,0.0,1
122143,364.9359822012769,0.0,0.0,1
64618,1210.9239409406007,0.0,0.0,1
