id_n,age,weight,tot_inc,gross_wage,wage_inc,total_gross_income,taxable_income,tax_cum_income,authorized_deduction,subsidy_w,pending_pitax,capitalgains_pitax,gambling_pitax,additional_dividend_pitax,pitax,pitax1,pitax2,pitax_diff
194,55,132,316956,0,0,316956,38152,38152,0,0,0,0,0,0,2041,2041,2041,0
195,28,132,46957,46957,46957,46957,46957,46957,0,0,0,0,0,0,2604,2604,2604,0
196,58,132,51652,0,0,51652,0,0,0,0,0,0,0,0,0,0,0,0
197,43,132,84522,84522,84522,84522,84522,84522,0,0,0,0,0,0,5391,5391,5391,0
198,35,132,16435,16435,16435,16435,16435,16435,0,0,0,0,0,0,651,651,651,0
199,19,132,23478,23478,23478,23478,23478,23478,0,0,0,0,0,0,1102,1102,1102,0
200,42,132,103304,103304,103304,103304,103304,103304,0,0,0,0,0,0,7434,7434,7434,0
201,66,132,7971,0,0,7971,0,0,0,0,0,0,0,0,0,0,0,0
202,50,211,493043,493043,434348,493043,488714,488714,0,0,0,0,0,0,86833,86833,86833,0
203,80,211,14870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,61,211,319109,319109,0,319109,319109,319109,0,0,0,0,0,0,48146,48146,48146,0
205,27,211,136957,136957,136957,136957,136957,136957,0,0,0,0,0,0,11271,11271,11271,0
206,55,211,41674,0,0,41674,0,0,0,0,0,0,0,0,0,0,0,0
207,55,211,246522,0,0,246522,0,0,0,0,0,0,0,0,0,0,0,0
208,61,164,55174,0,0,55174,0,0,0,0,0,0,0,0,0,0,0,0
209,30,164,99880,99880,88043,99880,92029,92029,0,0,0,0,0,0,6208,6208,6208,0
210,24,164,111228,111228,99000,111228,109296,109296,0,0,0,0,0,0,8086,8086,8086,0
211,90,164,62374,0,0,41087,0,0,0,0,0,0,0,0,0,0,0,0
212,53,164,65543,0,0,65543,0,0,0,0,0,0,0,0,0,0,0,0
213,63,164,7435,0,0,7435,0,0,0,0,0,0,0,0,0,0,0,0
214,34,164,82702,82702,60104,82702,80256,80256,0,0,0,0,0,0,4927,4927,4927,0
215,92,164,46761,0,0,46761,0,0,0,0,0,0,0,0,0,0,0,0
216,70,164,255248,232826,203478,255248,222627,222627,0,0,0,0,0,0,27537,27537,27537,0
217,69,164,22539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,40,164,141065,141065,117391,141065,129692,129692,0,0,0,0,0,0,10305,10305,10305,0
219,60,170,81149,81149,62055,81149,62749,62749,0,0,0,0,0,0,3615,3615,3615,0
220,54,170,5171,0,0,5171,0,0,0,0,0,0,0,0,0,0,0,0
221,21,170,15713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,67,170,114563,0,0,91889,0,0,0,0,0,0,0,0,0,0,0,0
223,51,170,95470,95470,89503,95470,92583,92583,0,0,0,0,0,0,6268,6268,6268,0
224,27,170,100641,97061,49326,100641,100641,100641,0,0,0,0,0,0,7145,7145,7145,0
225,25,170,62254,54298,0,62254,54298,54298,0,0,509,0,0,0,3583,3583,3583,0
226,19,170,11337,0,0,3978,0,0,0,0,0,0,0,0,0,0,0,0
227,31,170,169409,169409,167072,169409,167966,167966,0,0,0,0,0,0,16477,16477,16477,0
228,49,170,111580,111580,108597,111580,108693,108693,0,0,0,0,0,0,8021,8021,8021,0
229,43,170,1989,0,0,1989,0,0,0,0,0,0,0,0,0,0,0,0
230,23,170,51713,51713,51713,51713,51713,51713,0,0,0,0,0,0,2909,2909,2909,0
231,20,170,89403,89403,87912,89403,87912,87912,0,0,0,0,0,0,5760,5760,5760,0
232,40,170,767377,0,0,767377,0,0,0,0,0,0,0,0,0,0,0,0
233,41,170,445384,337980,251908,445384,342152,342152,0,0,0,0,0,0,53068,53068,53068,0
234,41,170,381878,381878,214807,381878,350506,350506,0,0,0,0,0,0,54852,54852,54852,0
235,38,156,235467,200152,176087,235467,195822,195822,0,0,0,0,0,0,21812,21812,21812,0
236,64,156,79435,43043,42261,79435,42554,42554,0,0,0,0,0,0,2322,2322,2322,0
237,44,156,42848,42848,39913,42848,39961,39961,0,0,0,0,0,0,2156,2156,2156,0
238,23,156,91115,91115,81391,91115,81391,81391,0,0,0,0,0,0,5050,5050,5050,0
239,33,156,141848,141848,129130,141848,137518,137518,0,0,0,0,0,0,11361,11361,11361,0
240,71,156,68087,0,0,46957,0,0,0,0,0,0,0,0,0,0,0,0
241,56,156,50870,50870,0,50870,50870,50870,0,0,0,0,0,0,2855,2855,2855,0
242,61,156,113478,113478,93913,113478,110592,110592,0,0,0,0,0,0,8227,8227,8227,0
243,36,156,123848,110152,61043,123848,120717,120717,0,0,0,0,0,0,9329,9329,9329,0
244,33,156,53002,49011,46957,49011,46957,46957,0,0,0,0,0,0,2604,2604,2604,0
245,51,176,818751,818751,0,818751,818751,818751,0,0,0,0,0,0,179229,179229,179229,0
246,40,176,341264,0,0,341264,0,0,0,0,0,0,0,0,0,0,0,0
247,43,176,180994,180994,119337,180994,176664,176664,0,0,0,0,0,0,18036,18036,18036,0
248,20,176,71602,71602,71602,71602,71602,71602,0,4149,0,0,0,0,33,33,33,0
249,40,176,84630,84630,81149,84630,81198,81198,0,0,0,0,0,0,5029,5029,5029,0
250,24,176,134254,134254,119337,134254,131368,131368,0,0,0,0,0,0,10488,10488,10488,0
251,31,176,180000,180000,143204,180000,154788,154788,0,0,0,0,0,0,14124,14124,14124,0
252,31,176,47735,47735,47735,47735,47735,47735,0,0,0,0,0,0,2654,2654,2654,0
253,67,162,15148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,65,162,14754,0,0,14754,14754,14754,0,0,0,0,0,0,543,543,543,0
255,35,162,28328,28328,28328,28328,28328,28328,0,0,0,0,0,0,1412,1412,1412,0
256,61,162,65410,65410,64918,65410,64918,64918,0,4149,0,0,0,0,0,0,0,0
257,42,162,47213,47213,47213,47213,47213,47213,0,0,0,0,0,0,2621,2621,2621,0
258,56,162,72787,0,0,72787,72787,72787,0,0,0,0,0,0,4257,4257,4257,0
259,84,162,34525,0,0,11803,0,0,0,0,0,0,0,0,0,0,0,0
260,25,162,112820,112820,70820,112820,89508,89508,0,4149,0,0,0,0,1784,1784,1784,0
261,66,162,112918,62361,61377,97770,61377,61377,0,0,0,0,0,0,3527,3527,3527,0
262,89,162,34525,0,0,11803,0,0,0,0,0,0,0,0,0,0,0,0
263,64,170,93913,0,0,93913,0,0,0,0,0,0,0,0,0,0,0,0
264,40,170,125217,125217,117391,125217,122331,122331,0,0,0,0,0,0,9504,9504,9504,0
265,70,170,233902,0,0,211304,0,0,0,0,0,0,0,0,0,0,0,0
266,46,170,331630,325761,275870,331630,327300,327300,0,0,0,0,0,0,49895,49895,49895,0
267,33,170,510652,510652,493043,510652,507766,507766,0,0,0,0,0,0,91314,91314,91314,0
268,75,170,245348,0,0,245348,0,0,0,0,0,0,0,0,0,0,0,0
269,61,170,55174,0,0,55174,0,0,0,0,0,0,0,0,0,0,0,0
270,27,176,87541,87541,82623,87541,84654,84654,0,0,0,0,0,0,5405,5405,5405,0
271,25,176,59016,59016,59016,59016,59016,59016,0,0,0,0,0,0,3376,3376,3376,0
272,22,176,25574,21639,21639,25574,23607,23607,0,0,0,0,0,0,1110,1110,1110,0
273,18,176,55672,53705,53705,55672,55672,55672,0,0,0,0,0,0,3162,3162,3162,0
274,48,176,155803,116459,112525,155803,113572,113572,0,0,0,0,0,0,8551,8551,8551,0
275,39,176,95803,95803,75541,95803,82490,82490,0,0,0,0,0,0,5170,5170,5170,0
276,76,176,92459,0,0,44852,0,0,0,0,0,0,0,0,0,0,0,0
277,17,176,7082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,32,176,51147,41311,41311,51147,41311,41311,0,0,0,0,0,0,2243,2243,2243,0
279,33,176,7279,7279,7279,7279,7279,7279,0,0,0,0,0,0,140,140,140,0
280,60,176,60984,0,0,60984,19672,19672,0,0,0,0,0,0,858,858,858,0
281,27,176,72984,71016,66492,72984,72590,72590,0,4149,0,0,0,0,96,96,96,0
282,58,269,95016,0,0,95016,0,0,0,0,0,0,0,0,0,0,0,0
283,54,269,23607,23607,23607,23607,23607,23607,0,0,0,0,0,0,1110,1110,1110,0
284,26,269,94426,94426,94426,94426,94426,94426,0,0,0,0,0,0,6468,6468,6468,0
285,50,269,106229,106229,106229,106229,106229,106229,0,0,0,0,0,0,7753,7753,7753,0
286,46,269,141639,141639,141639,141639,141639,141639,0,0,0,0,0,0,12020,12020,12020,0
287,22,269,1416,0,0,1023,197,197,0,0,0,0,0,0,4,4,4,0
288,16,269,6610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,35,269,346820,346820,56656,346820,60654,60654,0,0,0,0,0,0,3481,3481,3481,0
290,31,269,28525,28525,0,28525,28525,28525,0,0,0,0,0,0,1425,1425,1425,0
291,29,171,117391,117391,93913,117391,117391,117391,0,0,0,0,0,0,8967,8967,8967,0
292,28,171,86185,86185,63391,86185,66060,66060,0,4149,0,0,0,0,0,0,0,0
293,43,171,63196,58696,58696,63196,60261,60261,0,0,0,0,29,0,3485,3485,3485,0
294,47,171,57522,56348,56348,57522,56348,56348,0,0,0,0,0,0,3205,3205,3205,0
295,39,171,11739,11739,11739,11739,11739,11739,0,0,0,0,0,0,350,350,350,0
296,18,171,23478,23478,23478,23478,23478,23478,0,0,0,0,0,0,1102,1102,1102,0
297,55,171,164935,0,0,164935,39130,39130,0,0,0,0,0,0,2103,2103,2103,0
298,28,171,78300,78300,56348,78300,56348,56348,0,0,0,0,0,0,3205,3205,3205,0
299,56,171,55565,55565,0,55565,55565,55565,0,0,0,0,0,0,3155,3155,3155,0
300,69,171,110739,0,0,87261,16826,16826,0,0,0,0,0,0,676,676,676,0
301,23,171,75130,75130,0,75130,75130,75130,0,0,0,0,0,0,4407,4407,4407,0
302,52,171,164348,0,0,164348,0,0,0,0,0,0,0,0,0,0,0,0
303,29,171,15261,0,0,15261,0,0,0,0,0,0,0,0,0,0,0,0
