id_n,tot_inc,taxable_income,pitax,pitax1,pitax2,pitax_diff
327,233272,0,-0,-0,-0,-0
328,107213,107213,7860,7860,6433,-1427
329,76009,66958,3884,3884,4017,133
330,19908,0,-0,-0,-0,-0
331,85318,79933,4892,4892,4796,-96
332,185902,181572,18915,18915,13951,-4964
333,235180,0,-0,-0,-0,-0
334,22721,0,-0,-0,-0,-0
335,396393,393507,64440,64440,47861,-16579
336,62951,62951,3628,3628,3777,149
337,108398,97703,6825,6825,5862,-963
338,126835,118729,9113,9113,7124,-1989
339,101436,0,-0,-0,-0,-0
340,101436,0,-0,-0,-0,-0
341,22972,0,-0,-0,-0,-0
342,24066,23470,1101,1101,1408,307
343,187160,161900,15390,15390,10804,-4586
344,169061,164731,15897,15897,11257,-4640
345,73591,59668,3418,3418,3580,162
346,9207,0,-0,-0,-0,-0
347,71410,69049,4018,4018,4143,125
348,68459,0,-0,-0,-0,-0
349,47213,47213,2621,2621,2833,212
350,169180,169180,16694,16694,11969,-4726
351,125902,125902,9893,9893,7554,-2339
352,452459,449572,77627,77627,56832,-20795
353,185902,183015,19174,19174,14182,-4991
354,130820,127933,10114,10114,7676,-2438
355,236066,0,-0,-0,-0,-0
356,200656,0,-0,-0,-0,-0
